,home_total_goal_count_pre_game,away_total_goal_count_pre_game,home_goals_scored_pre_game,away_goals_scored_pre_game,home_goals_conceded_pre_game,away_goals_conceded_pre_game,home_average_possession_pre_game,away_average_possession_pre_game,home_total_goal_count_5games_pre_game,away_total_goal_count_5games_pre_game,home_average_shots_pre_game,away_average_shots_pre_game,home_average_shots_against_pre_game,away_average_shots_against_pre_game,home_ppg_pre_game,away_ppg_pre_game,home_ppg_5games_pre_game,away_ppg_5games_pre_game,results
5306,2.5526315789473686,3.236842105263158,1.4736842105263157,1.631578947368421,1.0789473684210527,1.605263157894737,46.421052631578945,54.73684210526316,1.6,2.8,11.157894736842104,12.578947368421053,13.710526315789474,9.710526315789474,1.763157894736842,1.368421052631579,2.6,0.8,win
5307,3.263157894736842,3.0,1.605263157894737,1.0789473684210527,1.6578947368421053,1.9210526315789473,54.8421052631579,48.5,4.0,4.2,12.631578947368421,11.0,9.789473684210526,12.368421052631579,1.2894736842105263,0.8947368421052632,0.6,0.4,win
5308,2.763157894736842,2.710526315789474,1.3157894736842106,1.394736842105263,1.4473684210526316,1.3157894736842106,51.21052631578947,53.78947368421053,2.6,3.6,11.394736842105264,12.657894736842104,9.421052631578947,11.342105263157896,1.3421052631578947,1.631578947368421,1.6,0.8,win
5309,3.473684210526316,2.710526315789474,1.4473684210526316,1.5789473684210527,2.026315789473684,1.131578947368421,52.578947368421055,46.473684210526315,5.0,2.6,10.605263157894736,11.157894736842104,11.526315789473685,13.657894736842104,1.105263157894737,1.8157894736842106,1.2,2.6,win
5310,2.3421052631578947,3.1842105263157894,0.9736842105263158,1.5263157894736843,1.368421052631579,1.6578947368421053,43.60526315789474,50.81578947368421,2.2,3.4,10.263157894736842,10.473684210526315,12.394736842105264,12.289473684210526,1.236842105263158,1.2105263157894737,1.4,2.6,win
5311,2.3994736842105264,3.6052631578947367,0.8763157894736842,2.5,1.4605263157894737,1.105263157894737,46.1578947368421,54.5,2.2,4.2,8.68421052631579,17.394736842105264,12.447368421052632,10.526315789473685,0.9473684210526315,2.1578947368421053,0.4,1.4,draw
5312,2.3731578947368424,2.210526315789474,1.0868421052631578,1.0789473684210527,1.2236842105263157,1.131578947368421,44.31578947368421,43.36842105263158,2.2,3.0,8.026315789473685,10.552631578947368,11.157894736842104,10.631578947368421,1.1842105263157894,1.1842105263157894,1.6,1.6,draw
5313,2.3421052631578947,3.9210526315789473,1.0,3.1578947368421053,1.3421052631578947,0.7631578947368421,45.39473684210526,60.8421052631579,2.4,4.0,9.263157894736842,16.236842105263158,12.289473684210526,10.0,1.263157894736842,2.6842105263157894,1.4,3.0,draw
5314,2.6626315789473685,2.4210526315789473,1.1657894736842105,1.3421052631578947,1.4342105263157894,1.0789473684210527,47.28947368421053,52.86842105263158,3.2,2.4,8.921052631578947,11.657894736842104,11.026315789473685,10.263157894736842,1.1842105263157894,1.5263157894736843,1.0,1.8,win
5315,2.263157894736842,3.1315789473684212,1.736842105263158,1.8157894736842106,0.5263157894736842,1.3157894736842106,46.473684210526315,48.578947368421055,1.8,3.0,11.68421052631579,12.236842105263158,10.763157894736842,12.947368421052632,2.236842105263158,1.736842105263158,2.0,1.2,win
